iter	Logloss
0	0.6807365406
1	0.6696586309
2	0.6601230387
3	0.650409540744	0.642154777
5	0.6306347919
6	0.6214598966
7	0.6118037058
8	0.6015831319
9	0.5934250832
10	0.5847878866
11	0.5761957587
12	0.5669876163
13	0.5596776477
14	0.5514560709
15	0.5428530796
16	0.5357051538
17	0.5271463376
18	0.520519253
19	0.5121670678
20	0.5045069718
21	0.4968424829
22	0.4895157677
23	0.4830537045
24	0.4748093161
25	0.4691788338
26	0.462497867
27	0.4569936914
28	0.4497590038
29	0.4445062346
30	0.4378061182
31	0.4317311014
32	0.4246504825
33	0.4186962073
34	0.4137122344
35	0.4092445082
36	0.4033952734
37	0.3997043619
38	0.3948311265
39	0.391226677
40	0.3856388837
41	0.3820437727
42	0.3770483425
43	0.372801378
44	0.3682039129
45	0.3642029977
46	0.3604652301
47	0.3562977293
48	0.3529084529
49	0.3492034121
50	0.3463465105
51	0.3416159997
52	0.3380563629
53	0.3339888979
54	0.3313647775
55	0.3288333777
56	0.3256865552
57	0.3224743915
58	0.3193175577
59	0.3158602581
60	0.3130114193
61	0.3103308573
62	0.3069685462
63	0.3038025202
64	0.3015770281
65	0.2986951616
66	0.296777258
67	0.2938543983
68	0.2913778157
69	0.2886960865
70	0.2857391278
71	0.2829144171
72	0.2807451402
73	0.2791158716
74	0.27703208
75	0.274320417
76	0.2724329688
77	0.2698322046
78	0.2670486502
79	0.2650238348
80	0.26350591
81	0.2615480894
82	0.2586120646
83	0.2562615272
84	0.2543038078
85	0.2524238529
86	0.2503921366
87	0.2487242112
88	0.2465985037
89	0.244606962
90	0.2424769813
91	0.2409041398
92	0.2390894836
93	0.237527214
94	0.2362685218
95	0.234993838
96	0.2337684551
97	0.2325083651
98	0.2309647508
99	0.2296198422
100	0.2279573719
101	0.2267923603
102	0.225506661
103	0.2244391697
104	0.2232838766
105	0.2216201569
106	0.2205092197
107	0.2194759117
108	0.2183876953
109	0.2176108772
110	0.2162712834
111	0.2150245805
112	0.2137216997
113	0.2125655348
114	0.2113883887
115	0.2103298323
116	0.2092210226
117	0.207987664
118	0.206849
119	0.2056885941
120	0.2048537456
121	0.203530882
122	0.2024808854
123	0.2015727154
124	0.2002126243
125	0.1991480758
126	0.1982208208
127	0.1974101373
128	0.1964590731
129	0.1957362643
130	0.1944261656
131	0.1935932049
132	0.1925778915
133	0.1916021521
134	0.1909434426
135	0.190018983
136	0.1889104203
137	0.1882297367
138	0.1875438616
139	0.1868726771
140	0.1860727872
141	0.185406322
142	0.184623446
143	0.1839381017
144	0.1829970203
145	0.1823689588
146	0.1817180533
147	0.1811552878
148	0.1803008335
149	0.1795504371
150	0.1788763696
151	0.177948787
152	0.1772812787
153	0.1766734577
154	0.1761000189
155	0.1755757429
156	0.174729696
157	0.1741416015
158	0.1734310073
159	0.1725631058
160	0.1716636084
161	0.1712348985
