iter	Passed	Remaining
0	6	6058
1	9	4765
2	13	4345
3	16	4081
4	19	3912
5	23	3884
6	26	3803
7	30	3772
8	34	3766
9	37	3739
10	40	3680
11	44	3623
12	47	3626
13	52	3674
14	55	3659
15	59	3644
16	63	3643
17	66	3621
18	69	3587
19	72	3556
20	74	3479
21	78	3503
22	82	3496
23	85	3481
24	89	3478
25	92	3460
26	95	3446
27	99	3439
28	102	3428
29	105	3413
30	108	3404
31	112	3401
32	115	3392
33	119	3387
34	122	3381
35	127	3408
36	131	3409
37	134	3409
38	138	3403
39	141	3399
40	145	3399
41	148	3392
42	152	3388
43	155	3388
44	159	3376
45	162	3365
46	165	3356
47	168	3347
48	172	3339
49	175	3337
50	179	3332
51	182	3327
52	188	3359
53	191	3356
54	195	3350
55	198	3344
56	202	3344
57	205	3339
58	209	3334
59	212	3325
60	215	3318
61	219	3317
62	222	3310
63	225	3304
64	229	3294
65	232	3283
66	235	3277
67	238	3266
68	241	3254
69	244	3245
70	247	3236
71	250	3231
72	253	3224
73	257	3220
74	260	3214
75	264	3210
76	267	3202
77	270	3192
78	273	3185
79	276	3176
80	279	3168
81	284	3183
82	287	3180
83	291	3177
84	295	3177
85	298	3177
86	302	3171
87	305	3163
88	306	3139
89	310	3135
90	313	3134
91	317	3129
92	320	3127
93	324	3124
94	328	3125
95	331	3119
96	335	3120
97	338	3117
98	342	3115
99	347	3125
100	350	3121
101	354	3117
102	357	3113
103	361	3111
104	364	3110
105	368	3107
106	371	3104
107	376	3108
108	380	3109
109	384	3108
110	388	3110
111	392	3108
112	395	3103
113	398	3098
114	401	3092
115	405	3087
116	408	3083
117	411	3078
118	415	3073
119	419	3077
120	423	3075
121	426	3068
122	429	3061
123	432	3057
124	435	3050
125	438	3038
126	442	3039
127	445	3035
128	448	3031
129	452	3027
130	456	3025
131	459	3020
132	463	3019
133	466	3014
134	470	3012
135	473	3010
136	476	3004
137	480	2999
138	483	2994
139	486	2990
140	490	2985
141	493	2980
142	497	2982
143	501	2979
144	504	2976
145	507	2971
146	511	2967
147	514	2963
148	517	2958
149	522	2961
150	533	2997
151	539	3010
152	547	3028
153	553	3041
154	560	3054
155	563	3048
156	566	3043
157	570	3039
158	575	3045
159	579	3040
160	582	3034
161	586	3032
162	589	3028
163	593	3023
164	596	3020
165	600	3017
166	603	3012
167	607	3009
168	610	3004
169	614	2998
170	617	2994
171	620	2988
172	624	2983
173	627	2977
174	630	2974
175	634	2970
176	637	2966
177	641	2961
178	644	2956
179	647	2951
180	651	2947
181	655	2945
182	658	2941
183	662	2938
184	665	2933
185	669	2929
186	672	2924
187	675	2919
188	679	2914
189	684	2918
190	688	2915
191	691	2910
192	694	2904
193	698	2900
194	701	2896
195	705	2894
196	711	2899
197	714	2894
198	717	2888
199	721	2884
200	724	2878
201	727	2872
202	730	2866
203	733	2862
204	736	2857
205	740	2853
206	744	2850
207	747	2845
208	750	2840
209	753	2836
210	758	2837
211	762	2832
212	765	2830
213	769	2825
214	772	2820
215	775	2815
216	779	2811
217	782	2807
218	785	2802
219	789	2798
220	792	2793
221	795	2788
222	799	2785
223	802	2781
224	806	2777
225	809	2773
226	813	2771
227	817	2766
228	820	2762
229	823	2757
230	826	2752
231	829	2747
232	833	2742
233	836	2738
234	840	2736
235	844	2732
236	847	2728
237	851	2724
238	855	2722
239	858	2718
240	861	2713
241	864	2709
242	868	2704
243	871	2699
244	874	2694
245	877	2690
246	881	2686
247	884	2683
248	889	2681
249	892	2677
250	896	2673
251	899	2670
252	903	2666
253	906	2662
254	910	2659
255	913	2655
256	917	2652
257	921	2649
258	924	2645
259	928	2642
260	931	2638
261	935	2635
262	939	2632
263	943	2629
264	946	2625
265	950	2623
266	954	2621
267	958	2618
268	961	2613
269	965	2610
270	969	2607
271	973	2604
272	976	2600
273	979	2596
274	983	2593
275	987	2589
276	990	2586
277	994	2583
278	998	2579
279	1001	2575
280	1004	2571
281	1008	2567
282	1011	2563
283	1015	2559
284	1018	2555
285	1022	2551
286	1025	2547
287	1028	2543
288	1032	2541
289	1036	2537
290	1039	2532
291	1042	2528
292	1045	2523
293	1051	2524
294	1054	2520
295	1058	2516
296	1061	2512
297	1064	2508
298	1068	2505
299	1072	2501
300	1075	2497
301	1079	2494
302	1082	2490
303	1086	2487
304	1090	2484
305	1093	2481
306	1097	2477
307	1101	2474
308	1105	2471
309	1108	2466
310	1111	2463
311	1115	2459
312	1119	2456
313	1122	2452
314	1125	2448
315	1129	2444
316	1132	2440
317	1135	2435
318	1139	2431
319	1142	2427
320	1146	2424
321	1149	2420
322	1152	2416
323	1156	2412
324	1159	2408
325	1162	2404
326	1166	2400
327	1169	2396
328	1172	2392
329	1176	2388
330	1179	2384
331	1182	2379
332	1185	2375
333	1189	2370
334	1192	2366
335	1195	2362
336	1198	2358
337	1201	2354
338	1205	2349
339	1208	2346
340	1212	2342
341	1215	2338
342	1218	2334
343	1221	2330
344	1225	2326
345	1228	2321
346	1231	2316
347	1234	2312
348	1237	2308
349	1241	2304
350	1245	2302
351	1248	2298
352	1252	2295
353	1256	2292
354	1259	2288
355	1263	2285
356	1267	2282
357	1270	2278
358	1274	2275
359	1278	2272
360	1281	2267
361	1284	2263
362	1287	2259
363	1290	2255
364	1293	2250
365	1297	2247
366	1300	2243
367	1304	2240
368	1308	2237
369	1312	2234
370	1315	2230
371	1319	2226
372	1322	2223
373	1326	2221
374	1331	2218
375	1334	2214
376	1337	2210
377	1341	2207
378	1344	2203
379	1348	2199
380	1352	2197
381	1356	2193
382	1362	2194
383	1368	2195
384	1373	2194
385	1377	2190
386	1380	2187
387	1384	2183
388	1387	2179
389	1391	2176
390	1394	2172
391	1398	2168
392	1401	2165
393	1405	2161
394	1408	2157
395	1411	2153
396	1415	2149
397	1416	2142
398	1420	2139
399	1424	2136
400	1427	2132
401	1430	2128
402	1434	2125
403	1437	2121
404	1441	2117
405	1444	2113
406	1448	2109
407	1451	2105
408	1454	2101
409	1458	2098
410	1463	2097
411	1467	2093
412	1470	2089
413	1471	2083
414	1475	2079
415	1478	2075
416	1481	2071
417	1485	2068
418	1488	2064
419	1492	2060
420	1495	2056
421	1498	2052
422	1501	2048
423	1505	2044
424	1513	2048
425	1519	2047
426	1525	2047
427	1530	2045
428	1536	2044
429	1541	2043
430	1545	2040
431	1548	2036
432	1552	2032
433	1556	2030
434	1560	2027
435	1564	2023
436	1567	2019
437	1571	2016
438	1575	2013
439	1580	2011
440	1584	2009
441	1590	2007
442	1594	2004
443	1597	2000
444	1601	1996
445	1604	1992
446	1608	1989
447	1611	1985
448	1615	1982
449	1618	1978
450	1621	1974
451	1625	1970
452	1628	1966
453	1631	1962
454	1635	1958
455	1638	1954
456	1643	1952
457	1646	1948
458	1649	1944
459	1652	1940
460	1656	1936
461	1659	1932
462	1663	1928
463	1666	1924
464	1669	1921
465	1673	1917
466	1677	1914
467	1680	1910
468	1684	1907
469	1689	1905
470	1694	1902
471	1699	1900
472	1705	1900
473	1710	1897
474	1714	1895
475	1717	1891
476	1721	1887
477	1725	1883
478	1729	1880
479	1732	1877
480	1738	1875
481	1743	1873
482	1748	1871
483	1753	1869
484	1758	1867
485	1763	1864
486	1768	1862
487	1773	1861
488	1778	1858
489	1782	1854
490	1785	1850
491	1788	1846
492	1791	1842
493	1794	1838
494	1797	1834
495	1800	1829
496	1804	1825
497	1807	1821
498	1810	1817
499	1813	1813
500	1816	1809
501	1820	1806
502	1824	1802
503	1827	1798
504	1831	1794
505	1834	1790
506	1837	1786
507	1840	1782
508	1843	1778
509	1846	1774
510	1849	1769
511	1853	1766
512	1856	1762
513	1859	1758
514	1862	1754
515	1865	1750
516	1869	1746
517	1873	1743
518	1876	1739
519	1879	1735
520	1882	1731
